Code,Game,Interval,Date,Start_Time,End_Time,C_Picked_Up,C_Collected,C_Remaining,Triggers
FRKA17RG,V2,MISC 2,2025.04.24,14:06:19,14:08:19,5,1,19,6
FRKA17RG,V2,MISC 3,2025.04.24,14:08:19,14:10:19,3,1,19,4
FRKA17RG,V2,MISC 4,2025.04.24,14:10:19,14:12:19,1,0,20,2
FRKA17RG,V2,MISC 5,2025.04.24,14:12:19,14:14:19,5,2,18,6
FRSI16EN,V2,Total,2025.05.16,13:11:17,13:21:17,18,7,13,25
FRSI16EN,V2,MISC 1,2025.05.16,13:11:17,13:13:17,7,3,17,9
FRSI16EN,V2,MISC 2,2025.05.16,13:13:17,13:15:17,3,2,18,4
FRSI16EN,V2,MISC 3,2025.05.16,13:15:17,13:17:17,3,1,19,4
FRSI16EN,V2,MISC 4,2025.05.16,13:17:17,13:19:17,3,0,20,5
FRSI16EN,V2,MISC 5,2025.05.16,13:19:17,13:21:17,2,1,19,3
GEHE20RG,V2,Total,2025.01.27,12:05:09,12:15:09,11,5,15,17
GEHE20RG,V2,MISC 1,2025.01.27,12:05:09,12:07:09,3,1,19,4
GEHE20RG,V2,MISC 2,2025.01.27,12:07:09,12:09:09,2,1,19,2
GEHE20RG,V2,MISC 3,2025.01.27,12:09:09,12:11:09,3,1,19,3
GEHE20RG,V2,MISC 4,2025.01.27,12:11:09,12:13:09,3,2,18,3
GEHE20RG,V2,MISC 5,2025.01.27,12:13:09,12:15:09,0,0,20,5
GEKA12RT,V2,Total,2025.04.23,10:04:24,10:14:24,13,7,13,19
GEKA12RT,V2,MISC 1,2025.04.23,10:04:24,10:06:24,4,3,17,7
GEKA12RT,V2,MISC 2,2025.04.23,10:06:24,10:08:24,2,0,20,3
GEKA12RT,V2,MISC 3,2025.04.23,10:08:24,10:10:24,2,1,19,2
GEKA12RT,V2,MISC 4,2025.04.23,10:10:24,10:12:24,2,1,19,3
GEKA12RT,V2,MISC 5,2025.04.23,10:12:24,10:14:24,3,2,18,4
GUHE05EN,V2,Total,2025.04.17,14:21:24,14:31:24,21,4,16,66
GUHE05EN,V2,MISC 1,2025.04.17,14:21:24,14:23:24,7,2,18,23
GUHE05EN,V2,MISC 2,2025.04.17,14:23:24,14:25:24,6,1,19,15
GUHE05EN,V2,MISC 3,2025.04.17,14:25:24,14:27:24,4,1,19,12
GUHE05EN,V2,MISC 4,2025.04.17,14:27:24,14:29:24,2,0,20,8
GUHE05EN,V2,MISC 5,2025.04.17,14:29:24,14:31:24,2,0,20,8
GUMA14IG,V2,Total,2025.01.31,09:08:45,09:18:45,20,9,11,28
GUMA14IG,V2,MISC 1,2025.01.31,09:08:45,09:10:45,8,4,16,13
GUMA14IG,V2,MISC 2,2025.01.31,09:10:45,09:12:45,4,1,19,5
GUMA14IG,V2,MISC 3,2025.01.31,09:12:45,09:14:45,2,1,19,3
GUMA14IG,V2,MISC 4,2025.01.31,09:14:45,09:16:45,5,2,18,6
GUMA14IG,V2,MISC 5,2025.01.31,09:16:45,09:18:45,1,1,19,1
HAIL26NA,V2,Total,2025.03.28,11:03:32,11:13:32,17,6,14,23
HAIL26NA,V2,MISC 1,2025.03.28,11:03:32,11:05:32,5,1,19,6
HAIL26NA,V2,MISC 2,2025.03.28,11:05:32,11:07:32,4,2,18,4
HAIL26NA,V2,MISC 3,2025.03.28,11:07:32,11:09:32,1,0,20,3
HAIL26NA,V2,MISC 4,2025.03.28,11:09:32,11:11:32,3,1,19,5
HAIL26NA,V2,MISC 5,2025.03.28,11:11:32,11:13:32,4,2,18,5
HAIR11AU,V2,Total,2025.01.29,14:51:49,15:01:49,13,6,14,32
HAIR11AU,V2,MISC 1,2025.01.29,14:51:49,14:53:49,2,1,19,12
HAIR11AU,V2,MISC 2,2025.01.29,14:53:49,14:55:49,3,1,19,10
HAIR11AU,V2,MISC 3,2025.01.29,14:55:49,14:57:49,2,1,19,2
HAIR11AU,V2,MISC 4,2025.01.29,14:57:49,14:59:49,2,1,19,2
HAIR11AU,V2,MISC 5,2025.01.29,14:59:49,15:01:49,4,2,18,6
HARO22AD,V2,Total,2025.04.30,11:04:37,11:14:37,16,3,17,50
HARO22AD,V2,MISC 1,2025.04.30,11:04:37,11:06:37,2,0,20,10
HARO22AD,V2,MISC 2,2025.04.30,11:06:37,11:08:37,4,1,19,19
HARO22AD,V2,MISC 3,2025.04.30,11:08:37,11:10:37,4,2,18,10
HARO22AD,V2,MISC 4,2025.04.30,11:10:37,11:12:37,4,0,20,7
HARO22AD,V2,MISC 5,2025.04.30,11:12:37,11:14:37,2,0,20,4
HEAN13IG,V2,Total,2025.03.31,13:10:37,13:20:37,24,9,11,36
HEAN13IG,V2,MISC 1,2025.03.31,13:10:37,13:12:37,9,4,16,11
HEAN13IG,V2,MISC 2,2025.03.31,13:12:37,13:14:37,5,3,17,8
HEAN13IG,V2,MISC 3,2025.03.31,13:14:37,13:16:37,4,1,19,6
HEAN13IG,V2,MISC 4,2025.03.31,13:16:37,13:18:37,3,1,19,5
HEAN13IG,V2,MISC 5,2025.03.31,13:18:37,13:20:37,3,0,20,6
HOHE16RG,V2,Total,2025.04.15,12:09:01,12:19:01,8,1,19,52
HOHE16RG,V2,MISC 1,2025.04.15,12:09:01,12:11:01,0,0,20,4
HOHE16RG,V2,MISC 2,2025.04.15,12:11:01,12:13:01,2,0,20,4
HOHE16RG,V2,MISC 3,2025.04.15,12:13:01,12:15:01,2,0,20,13
HOHE16RG,V2,MISC 4,2025.04.15,12:15:01,12:17:01,1,1,19,16
HOHE16RG,V2,MISC 5,2025.04.15,12:17:01,12:19:01,3,0,20,15
INCO29EN,V2,Total,2025.04.15,13:05:22,13:15:22,23,11,9,25
INCO29EN,V2,MISC 1,2025.04.15,13:05:22,13:07:22,5,3,17,5
INCO29EN,V2,MISC 2,2025.04.15,13:07:22,13:09:22,5,2,18,6
INCO29EN,V2,MISC 3,2025.04.15,13:09:22,13:11:22,4,1,19,5
INCO29EN,V2,MISC 4,2025.04.15,13:11:22,13:13:22,5,3,17,5
INCO29EN,V2,MISC 5,2025.04.15,13:13:22,13:15:22,4,2,18,4
JABA17IN,V2,Total,2025.05.16,09:58:31,10:08:31,21,11,9,24
JABA17IN,V2,MISC 1,2025.05.16,09:58:31,10:00:31,8,4,16,8
JABA17IN,V2,MISC 2,2025.05.16,10:00:31,10:02:31,3,2,18,4
JABA17IN,V2,MISC 3,2025.05.16,10:02:31,10:04:31,3,1,19,4
JABA17IN,V2,MISC 4,2025.05.16,10:04:31,10:06:31,4,2,18,5
JABA17IN,V2,MISC 5,2025.05.16,10:06:31,10:08:31,3,2,18,3
JASA08AR,V2,Total,2025.04.29,12:03:43,12:13:43,21,11,9,28
JASA08AR,V2,MISC 1,2025.04.29,12:03:43,12:05:43,4,3,17,8
JASA08AR,V2,MISC 2,2025.04.29,12:05:43,12:07:43,5,2,18,6
JASA08AR,V2,MISC 3,2025.04.29,12:07:43,12:09:43,4,2,18,4
JASA08AR,V2,MISC 4,2025.04.29,12:09:43,12:11:43,4,2,18,5
JASA08AR,V2,MISC 5,2025.04.29,12:11:43,12:13:43,4,2,18,5
JEEL18RG,V2,Total,2025.02.03,10:57:19,11:07:19,22,8,12,31
JEEL18RG,V2,MISC 1,2025.02.03,10:57:19,10:59:19,7,4,16,7
JEEL18RG,V2,MISC 2,2025.02.03,10:59:19,11:01:19,6,2,18,7
JEEL18RG,V2,MISC 3,2025.02.03,11:01:19,11:03:19,4,0,20,8
JEEL18RG,V2,MISC 4,2025.02.03,11:03:19,11:05:19,2,1,19,5
JEEL18RG,V2,MISC 5,2025.02.03,11:05:19,11:07:19,3,1,19,4
JESI20UL,V2,Total,2025.04.25,15:07:26,15:17:26,18,7,13,30
JESI20UL,V2,MISC 1,2025.04.25,15:07:26,15:09:26,4,2,18,9
JESI20UL,V2,MISC 2,2025.04.25,15:09:26,15:11:26,4,2,18,6
JESI20UL,V2,MISC 3,2025.04.25,15:11:26,15:13:26,5,2,18,6
JESI20UL,V2,MISC 4,2025.04.25,15:13:26,15:15:26,2,1,19,4
JESI20UL,V2,MISC 5,2025.04.25,15:15:26,15:17:26,3,0,20,5
JESY29TZ,V2,Total,2025.04.25,11:24:24,11:34:24,14,6,14,18
JESY29TZ,V2,MISC 1,2025.04.25,11:24:24,11:26:24,5,2,18,6
JESY29TZ,V2,MISC 2,2025.04.25,11:26:24,11:28:24,3,2,18,3
JESY29TZ,V2,MISC 3,2025.04.25,11:28:24,11:30:24,1,0,20,2
JESY29TZ,V2,MISC 4,2025.04.25,11:30:24,11:32:24,3,1,19,3
JESY29TZ,V2,MISC 5,2025.04.25,11:32:24,11:34:24,2,1,19,4
JOCH30EN,V2,Total,2025.05.12,09:02:38,09:12:38,20,8,12,29
JOCH30EN,V2,MISC 1,2025.05.12,09:02:38,09:04:38,8,4,16,10
JOCH30EN,V2,MISC 2,2025.05.12,09:04:38,09:06:38,3,0,20,6
JOCH30EN,V2,MISC 3,2025.05.12,09:06:38,09:08:38,4,2,18,4
JOCH30EN,V2,MISC 4,2025.05.12,09:08:38,09:10:38,2,1,19,5
JOCH30EN,V2,MISC 5,2025.05.12,09:10:38,09:12:38,3,1,19,4
JOKA15EN,V2,Total,2025.03.25,11:25:10,11:35:10,22,10,10,50
JOKA15EN,V2,MISC 1,2025.03.25,11:25:10,11:27:10,8,4,16,22
JOKA15EN,V2,MISC 2,2025.03.25,11:27:10,11:29:10,3,1,19,5
JOKA15EN,V2,MISC 3,2025.03.25,11:29:10,11:31:10,4,2,18,9
JOKA15EN,V2,MISC 4,2025.03.25,11:31:10,11:33:10,4,2,18,8
JOKA15EN,V2,MISC 5,2025.03.25,11:33:10,11:35:10,3,1,19,6
JXYY12HN,V2,Total,2025.05.14,15:04:09,15:14:09,4,1,19,6
JXYY12HN,V2,MISC 1,2025.05.14,15:04:09,15:06:09,0,0,20,0
JXYY12HN,V2,MISC 2,2025.05.14,15:06:09,15:08:09,2,0,20,3
JXYY12HN,V2,MISC 3,2025.05.14,15:08:09,15:10:09,1,0,20,2
JXYY12HN,V2,MISC 4,2025.05.14,15:10:09,15:12:09,1,1,19,1
JXYY12HN,V2,MISC 5,2025.05.14,15:12:09,15:14:09,0,0,20,0
JOEAN25GO,V2,Total,2025.04.17,12:55:30,13:05:30,18,5,15,33
JOEAN25GO,V2,MISC 1,2025.04.17,12:55:30,12:57:30,8,3,17,11
JOEAN25GO,V2,MISC 2,2025.04.17,12:57:30,12:59:30,2,0,20,6
JOEAN25GO,V2,MISC 3,2025.04.17,12:59:30,13:01:30,4,1,19,6
JOEAN25GO,V2,MISC 4,2025.04.17,13:01:30,13:03:30,2,1,19,3
JOEAN25GO,V2,MISC 5,2025.04.17,13:03:30,13:05:30,2,0,20,7
KABI20ND,V2,Total,2025.02.03,12:05:01,12:15:01,27,9,11,43
KABI20ND,V2,MISC 1,2025.02.03,12:05:01,12:07:01,8,4,16,12
KABI20ND,V2,MISC 2,2025.02.03,12:07:01,12:09:01,7,1,19,10
KABI20ND,V2,MISC 3,2025.02.03,12:09:01,12:11:01,4,1,19,9
KABI20ND,V2,MISC 4,2025.02.03,12:11:01,12:13:01,4,2,18,7
KABI20ND,V2,MISC 5,2025.02.03,12:13:01,12:15:01,4,1,19,5
KAUT26EN,V2,Total,2025.01.31,11:02:03,11:12:03,17,7,13,25
KAUT26EN,V2,MISC 1,2025.01.31,11:02:03,11:04:03,6,3,17,6
KAUT26EN,V2,MISC 2,2025.01.31,11:04:03,11:06:03,3,1,19,5
KAUT26EN,V2,MISC 3,2025.01.31,11:06:03,11:08:03,3,1,19,3
KAUT26EN,V2,MISC 4,2025.01.31,11:08:03,11:10:03,3,1,19,9
KAUT26EN,V2,MISC 5,2025.01.31,11:10:03,11:12:03,2,1,19,2
MAAN15AU,V2,Total,2025.02.05,13:02:43,13:12:43,18,8,12,22
MAAN15AU,V2,MISC 1,2025.02.05,13:02:43,13:04:43,5,3,17,6
MAAN15AU,V2,MISC 2,2025.02.05,13:04:43,13:06:43,4,2,18,4
MAAN15AU,V2,MISC 3,2025.02.05,13:06:43,13:08:43,2,0,20,4
MAAN15AU,V2,MISC 4,2025.02.05,13:08:43,13:10:43,3,2,18,4
MAAN15AU,V2,MISC 5,2025.02.05,13:10:43,13:12:43,4,1,19,4
MABE25EN,V2,Total,2025.04.23,15:07:15,15:17:15,22,7,13,24
MABE25EN,V2,MISC 1,2025.04.23,15:07:15,15:09:15,7,2,18,7
MABE25EN,V2,MISC 2,2025.04.23,15:09:15,15:11:15,4,1,19,5
MABE25EN,V2,MISC 3,2025.04.23,15:11:15,15:13:15,3,2,18,3
MABE25EN,V2,MISC 4,2025.04.23,15:13:15,15:15:15,3,1,19,4
MABE25EN,V2,MISC 5,2025.04.23,15:15:15,15:17:15,5,1,19,5
MAKE20NZ,V2,Total,2025.01.24,16:03:08,16:13:08,26,10,10,32
MAKE20NZ,V2,MISC 1,2025.01.24,16:03:08,16:05:08,8,4,16,10
MAKE20NZ,V2,MISC 2,2025.01.24,16:05:08,16:07:08,7,1,19,10
MAKE20NZ,V2,MISC 3,2025.01.24,16:07:08,16:09:08,5,2,18,6
MAKE20NZ,V2,MISC 4,2025.01.24,16:09:08,16:11:08,4,2,18,4
MAKE20NZ,V2,MISC 5,2025.01.24,16:11:08,16:13:08,2,1,19,2
MAMI26RG,V2,Total,2025.04.23,14:04:49,14:14:49,26,9,11,39
MAMI26RG,V2,MISC 1,2025.04.23,14:04:49,14:06:49,2,1,19,4
MAMI26RG,V2,MISC 2,2025.04.23,14:06:49,14:08:49,8,2,18,11
MAMI26RG,V2,MISC 3,2025.04.23,14:08:49,14:10:49,8,2,18,13
MAMI26RG,V2,MISC 4,2025.04.23,14:10:49,14:12:49,5,2,18,7
MAMI26RG,V2,MISC 5,2025.04.23,14:12:49,14:14:49,3,2,18,4
MIAL14IN,V2,Total,2025.05.15,13:07:38,13:17:38,22,5,15,39
MIAL14IN,V2,MISC 1,2025.05.15,13:07:38,13:09:38,4,2,18,7
MIAL14IN,V2,MISC 2,2025.05.15,13:09:38,13:11:38,5,1,19,9
MIAL14IN,V2,MISC 3,2025.05.15,13:11:38,13:13:38,4,0,20,7
MIAL14IN,V2,MISC 4,2025.05.15,13:13:38,13:15:38,6,0,20,12
MIAL14IN,V2,MISC 5,2025.05.15,13:15:38,13:17:38,3,2,18,4
MIAN07DA,V2,Total,2025.05.16,09:03:00,09:13:00,17,8,12,18
MIAN07DA,V2,MISC 1,2025.05.16,09:03:00,09:05:00,6,4,16,7
MIAN07DA,V2,MISC 2,2025.05.16,09:05:00,09:07:00,3,1,19,3
MIAN07DA,V2,MISC 3,2025.05.16,09:07:00,09:09:00,3,2,18,3
MIAN07DA,V2,MISC 4,2025.05.16,09:09:00,09:11:00,1,0,20,2
MIAN07DA,V2,MISC 5,2025.05.16,09:11:00,09:13:00,4,1,19,3
MIJA24EN,V2,Total,2025.02.05,14:02:38,14:12:38,24,11,9,32
MIJA24EN,V2,MISC 1,2025.02.05,14:02:38,14:04:38,4,3,17,5
