Code,Game,Interval,Date,Start_Time,End_Time,C_Picked_Up,C_Collected,C_Remaining,Triggers
ALAL10IH,V2,Total,2025.04.11,10:03:21,10:13:21,24,10,10,34
ALAL10IH,V2,MISC 1,2025.04.11,10:03:21,10:05:21,6,3,17,7
ALAL10IH,V2,MISC 2,2025.04.11,10:05:21,10:07:21,5,2,18,7
ALAL10IH,V2,MISC 3,2025.04.11,10:07:21,10:09:21,5,2,18,9
ALAL10IH,V2,MISC 4,2025.04.11,10:09:21,10:11:21,3,1,19,4
ALAL10IH,V2,MISC 5,2025.04.11,10:11:21,10:13:21,5,2,18,7
ALOL15DT,V2,Total,2025.03.27,16:06:43,16:16:43,23,9,11,41
ALOL15DT,V2,MISC 1,2025.03.27,16:06:43,16:08:43,6,2,18,15
ALOL15DT,V2,MISC 2,2025.03.27,16:08:43,16:10:43,5,2,18,11
ALOL15DT,V2,MISC 3,2025.03.27,16:10:43,16:12:43,5,2,18,6
ALOL15DT,V2,MISC 4,2025.03.27,16:12:43,16:14:43,4,2,18,4
ALOL15DT,V2,MISC 5,2025.03.27,16:14:43,16:16:43,3,1,19,5
ANCH07RN,V2,Total,2025.04.25,16:10:16,16:20:16,30,12,8,42
ANCH07RN,V2,MISC 1,2025.04.25,16:10:16,16:12:16,9,4,16,12
ANCH07RN,V2,MISC 2,2025.04.25,16:12:16,16:14:16,6,0,20,11
ANCH07RN,V2,MISC 3,2025.04.25,16:14:16,16:16:16,6,3,17,8
ANCH07RN,V2,MISC 4,2025.04.25,16:16:16,16:18:16,5,3,17,7
ANCH07RN,V2,MISC 5,2025.04.25,16:18:16,16:20:16,4,2,18,4
ANCH24RG,V2,Total,2025.05.12,10:10:08,10:20:08,19,6,14,34
ANCH24RG,V2,MISC 1,2025.05.12,10:10:08,10:12:08,6,2,18,15
ANCH24RG,V2,MISC 2,2025.05.12,10:12:08,10:14:08,4,2,18,5
ANCH24RG,V2,MISC 3,2025.05.12,10:14:08,10:16:08,3,1,19,5
ANCH24RG,V2,MISC 4,2025.05.12,10:16:08,10:18:08,2,1,19,4
ANCH24RG,V2,MISC 5,2025.05.12,10:18:08,10:20:08,4,0,20,5
ANGO16RG,V2,Total,2025.02.03,13:02:03,13:12:03,29,10,10,37
ANGO16RG,V2,MISC 1,2025.02.03,13:02:03,13:04:03,10,4,16,11
ANGO16RG,V2,MISC 2,2025.02.03,13:04:03,13:06:03,5,1,19,9
ANGO16RG,V2,MISC 3,2025.02.03,13:06:03,13:08:03,6,2,18,7
ANGO16RG,V2,MISC 4,2025.02.03,13:08:03,13:10:03,5,2,18,6
ANGO16RG,V2,MISC 5,2025.02.03,13:10:03,13:12:03,3,1,19,4
ANGR02CH,V2,Total,2025.01.30,16:08:12,16:18:12,21,6,14,41
ANGR02CH,V2,MISC 1,2025.01.30,16:08:12,16:10:12,6,2,18,17
ANGR02CH,V2,MISC 2,2025.01.30,16:10:12,16:12:12,4,0,20,10
ANGR02CH,V2,MISC 3,2025.01.30,16:12:12,16:14:12,4,2,18,5
ANGR02CH,V2,MISC 4,2025.01.30,16:14:12,16:16:12,3,1,19,5
ANGR02CH,V2,MISC 5,2025.01.30,16:16:12,16:18:12,4,1,19,4
ANIR22ER,V2,Total,2025.02.07,11:06:30,11:16:30,23,12,8,36
ANIR22ER,V2,MISC 1,2025.02.07,11:06:30,11:08:30,6,5,15,8
ANIR22ER,V2,MISC 2,2025.02.07,11:08:30,11:10:30,3,1,19,9
ANIR22ER,V2,MISC 3,2025.02.07,11:10:30,11:12:30,5,2,18,8
ANIR22ER,V2,MISC 4,2025.02.07,11:12:30,11:14:30,4,2,18,5
ANIR22ER,V2,MISC 5,2025.02.07,11:14:30,11:16:30,5,2,18,6
ANMA16TZ,V2,Total,2025.04.28,11:40:39,11:50:39,24,10,10,30
ANMA16TZ,V2,MISC 1,2025.04.28,11:40:39,11:42:39,7,4,16,7
ANMA16TZ,V2,MISC 2,2025.04.28,11:42:39,11:44:39,4,1,19,7
ANMA16TZ,V2,MISC 3,2025.04.28,11:44:39,11:46:39,4,1,19,6
ANMA16TZ,V2,MISC 4,2025.04.28,11:46:39,11:48:39,4,2,18,4
ANMA16TZ,V2,MISC 5,2025.04.28,11:48:39,11:50:39,5,2,18,6
ANRA10AU,V2,Total,2025.02.06,14:57:30,15:07:30,21,10,10,24
ANRA10AU,V2,MISC 1,2025.02.06,14:57:30,14:59:30,6,2,18,7
ANRA10AU,V2,MISC 2,2025.02.06,14:59:30,15:01:30,5,3,17,5
ANRA10AU,V2,MISC 3,2025.02.06,15:01:30,15:03:30,2,1,19,4
ANRA10AU,V2,MISC 4,2025.02.06,15:03:30,15:05:30,4,2,18,4
ANRA10AU,V2,MISC 5,2025.02.06,15:05:30,15:07:30,4,2,18,4
BAEL09IG,V2,Total,2025.04.29,11:11:40,11:21:40,21,11,9,24
BAEL09IG,V2,MISC 1,2025.04.29,11:11:40,11:13:40,5,3,17,5
BAEL09IG,V2,MISC 2,2025.04.29,11:13:40,11:15:40,6,2,18,6
BAEL09IG,V2,MISC 3,2025.04.29,11:15:40,11:17:40,3,2,18,5
BAEL09IG,V2,MISC 4,2025.04.29,11:17:40,11:19:40,4,2,18,5
BAEL09IG,V2,MISC 5,2025.04.29,11:19:40,11:21:40,3,2,18,3
BASE31KU,V2,Total,2025.04.04,09:18:12,09:28:12,18,9,11,24
BASE31KU,V2,MISC 1,2025.04.04,09:18:12,09:20:12,5,3,17,6
BASE31KU,V2,MISC 2,2025.04.04,09:20:12,09:22:12,5,2,18,6
BASE31KU,V2,MISC 3,2025.04.04,09:22:12,09:24:12,4,2,18,4
BASE31KU,V2,MISC 4,2025.04.04,09:24:12,09:26:12,2,1,19,2
BASE31KU,V2,MISC 5,2025.04.04,09:26:12,09:28:12,2,1,19,6
BEAN08DT,V2,Total,2025.04.03,10:06:48,10:16:48,23,8,12,31
BEAN08DT,V2,MISC 1,2025.04.03,10:06:48,10:08:48,7,2,18,10
BEAN08DT,V2,MISC 2,2025.04.03,10:08:48,10:10:48,4,2,18,4
BEAN08DT,V2,MISC 3,2025.04.03,10:10:48,10:12:48,4,1,19,7
BEAN08DT,V2,MISC 4,2025.04.03,10:12:48,10:14:48,3,1,19,6
BEAN08DT,V2,MISC 5,2025.04.03,10:14:48,10:16:48,5,2,18,4
BERI1001,V2,Total,2025.01.31,10:03:14,10:13:14,26,9,11,45
BERI1001,V2,MISC 1,2025.01.31,10:03:14,10:05:14,8,4,16,13
BERI1001,V2,MISC 2,2025.01.31,10:05:14,10:07:14,5,2,18,6
BERI1001,V2,MISC 3,2025.01.31,10:07:14,10:09:14,4,0,20,7
BERI1001,V2,MISC 4,2025.01.31,10:09:14,10:11:14,4,1,19,9
BERI1001,V2,MISC 5,2025.01.31,10:11:14,10:13:14,5,2,18,10
CAMA19DA,V2,Total,2025.04.11,17:10:08,17:20:08,27,5,15,35
CAMA19DA,V2,MISC 1,2025.04.11,17:10:08,17:12:08,7,3,17,10
CAMA19DA,V2,MISC 2,2025.04.11,17:12:08,17:14:08,6,0,20,10
CAMA19DA,V2,MISC 3,2025.04.11,17:14:08,17:16:08,5,0,20,7
CAMA19DA,V2,MISC 4,2025.04.11,17:16:08,17:18:08,3,2,18,3
CAMA19DA,V2,MISC 5,2025.04.11,17:18:08,17:20:08,6,0,20,5
CAYV01AU,V2,Total,2025.02.07,12:05:30,12:15:30,27,12,8,35
CAYV01AU,V2,MISC 1,2025.02.07,12:05:30,12:07:30,10,5,15,14
CAYV01AU,V2,MISC 2,2025.02.07,12:07:30,12:09:30,5,2,18,5
CAYV01AU,V2,MISC 3,2025.02.07,12:09:30,12:11:30,4,1,19,5
CAYV01AU,V2,MISC 4,2025.02.07,12:11:30,12:13:30,5,3,17,5
CAYV01AU,V2,MISC 5,2025.02.07,12:13:30,12:15:30,3,1,19,6
CLKA12EN,V2,Total,2025.01.31,16:13:14,16:23:14,13,5,15,22
CLKA12EN,V2,MISC 1,2025.01.31,16:13:14,16:15:14,5,2,18,7
CLKA12EN,V2,MISC 2,2025.01.31,16:15:14,16:17:14,2,1,19,4
CLKA12EN,V2,MISC 3,2025.01.31,16:17:14,16:19:14,2,1,19,3
CLKA12EN,V2,MISC 4,2025.01.31,16:19:14,16:21:14,3,1,19,6
CLKA12EN,V2,MISC 5,2025.01.31,16:21:14,16:23:14,1,0,20,2
DEIN13RG,V2,Total,2025.04.16,13:02:59,13:12:59,14,6,14,18
DEIN13RG,V2,MISC 1,2025.04.16,13:02:59,13:04:59,6,3,17,7
DEIN13RG,V2,MISC 2,2025.04.16,13:04:59,13:06:59,3,1,19,3
DEIN13RG,V2,MISC 3,2025.04.16,13:06:59,13:08:59,2,1,19,3
DEIN13RG,V2,MISC 4,2025.04.16,13:08:59,13:10:59,1,0,20,2
DEIN13RG,V2,MISC 5,2025.04.16,13:10:59,13:12:59,2,1,19,3
EKCL03TZ,V2,Total,2025.03.28,15:10:11,15:20:11,20,8,12,34
EKCL03TZ,V2,MISC 1,2025.03.28,15:10:11,15:12:11,8,4,16,11
EKCL03TZ,V2,MISC 2,2025.03.28,15:12:11,15:14:11,3,0,20,8
EKCL03TZ,V2,MISC 3,2025.03.28,15:14:11,15:16:11,2,1,19,4
EKCL03TZ,V2,MISC 4,2025.03.28,15:16:11,15:18:11,4,2,18,4
EKCL03TZ,V2,MISC 5,2025.03.28,15:18:11,15:20:11,3,1,19,7
ELAN16TH,V2,Total,2025.01.24,15:08:34,15:18:34,20,5,15,31
ELAN16TH,V2,MISC 1,2025.01.24,15:08:34,15:10:34,7,4,16,8
ELAN16TH,V2,MISC 2,2025.01.24,15:10:34,15:12:34,4,1,19,6
ELAN16TH,V2,MISC 3,2025.01.24,15:12:34,15:14:34,3,0,20,6
ELAN16TH,V2,MISC 4,2025.01.24,15:14:34,15:16:34,3,0,20,5
ELAN16TH,V2,MISC 5,2025.01.24,15:16:34,15:18:34,3,0,20,6
ELAN19TH,V2,Total,2025.03.20,11:15:05,11:25:05,20,6,14,65
ELAN19TH,V2,MISC 1,2025.03.20,11:15:05,11:17:05,7,3,17,12
ELAN19TH,V2,MISC 2,2025.03.20,11:17:05,11:19:05,4,1,19,12
ELAN19TH,V2,MISC 3,2025.03.20,11:19:05,11:21:05,4,1,19,17
ELAN19TH,V2,MISC 4,2025.03.20,11:21:05,11:23:05,2,0,20,17
ELAN19TH,V2,MISC 5,2025.03.20,11:23:05,11:25:05,3,1,19,7
ERAN19RF,V2,Total,2025.04.16,11:57:46,12:07:46,23,10,10,30
ERAN19RF,V2,MISC 1,2025.04.16,11:57:46,11:59:46,8,4,16,8
ERAN19RF,V2,MISC 2,2025.04.16,11:59:46,12:01:46,4,2,18,5
ERAN19RF,V2,MISC 3,2025.04.16,12:01:46,12:03:46,4,2,18,7
ERAN19RF,V2,MISC 4,2025.04.16,12:03:46,12:05:46,3,0,20,4
ERAN19RF,V2,MISC 5,2025.04.16,12:05:46,12:07:46,4,2,18,6
FASA03LE,V2,Total,2025.05.13,11:04:47,11:14:47,16,6,14,24
FASA03LE,V2,MISC 1,2025.05.13,11:04:47,11:06:47,4,1,19,9
FASA03LE,V2,MISC 2,2025.05.13,11:06:47,11:08:47,3,1,19,3
FASA03LE,V2,MISC 3,2025.05.13,11:08:47,11:10:47,3,1,19,6
FASA03LE,V2,MISC 4,2025.05.13,11:10:47,11:12:47,4,2,18,4
FASA03LE,V2,MISC 5,2025.05.13,11:12:47,11:14:47,2,1,19,2
FRCH31EN,V2,Total,2025.02.05,10:22:52,10:32:52,16,5,15,26
FRCH31EN,V2,MISC 1,2025.02.05,10:22:52,10:24:52,5,3,17,6
FRCH31EN,V2,MISC 2,2025.02.05,10:24:52,10:26:52,3,0,20,9
FRCH31EN,V2,MISC 3,2025.02.05,10:26:52,10:28:52,2,0,20,5
FRCH31EN,V2,MISC 4,2025.02.05,10:28:52,10:30:52,2,1,19,2
FRCH31EN,V2,MISC 5,2025.02.05,10:30:52,10:32:52,4,1,19,4
FRHE15NA,V2,Total,2025.02.06,13:08:31,13:18:31,23,10,10,34
FRHE15NA,V2,MISC 1,2025.02.06,13:08:31,13:10:31,7,3,17,11
FRHE15NA,V2,MISC 2,2025.02.06,13:10:31,13:12:31,5,2,18,9
FRHE15NA,V2,MISC 3,2025.02.06,13:12:31,13:14:31,3,1,19,5
FRHE15NA,V2,MISC 4,2025.02.06,13:14:31,13:16:31,4,2,18,5
FRHE15NA,V2,MISC 5,2025.02.06,13:16:31,13:18:31,4,2,18,4
FRKA17RG,V2,Total,2025.04.24,14:04:19,14:14:19,20,6,14,25
FRKA17RG,V2,MISC 1,2025.04.24,14:04:19,14:06:19,6,2,18,7
